Walmart Category,Walmart PTG,Walmart Product Type,Amazon 叶子,Amazon 路径,browse_node_id,排名,置信度,匹配方式,备注,来源批次,,,,,,,,,
-,-,无对应Walmart PT,AV Carts & Stands,Office Products > Office Furniture & Accessories > Carts & Stands > AV Carts & Stands,1069120,1,无,a2w_agent,AV推车，Walmart无对应PT,Office_Products,,,,,,,,,
-,-,无对应Walmart PT,Abutments,Industrial & Scientific > Professional Dental Supplies > Implants & Surgical Supplies > Abutments,11322258011,2,无,a2w_agent,专业牙科种植基台，Walmart无对应PT,Industrial_and_Scientific_part3,,,,,,,,,
-,-,无对应Walmart PT,Access Doors,"Patio, Lawn & Garden > Grills & Outdoor Cooking > Outdoor Kitchen Appliances & Storage > Outdoor Kitchen Storage > Access Doors",13299201,3,无,a2w_agent,户外厨房门板，Walmart无对应PT,Patio_Lawn_and_Garden,,,,,,,,,
-,-,无对应Walmart PT,Accessories,Industrial & Scientific > Professional Medical Supplies > Surgical Equipment > Electrosurgery > Accessories,11312426011,4,无,a2w_agent,电外科配件，专业医疗，无对应PT,Industrial_and_Scientific_part4,,,,,,,,,
-,-,无对应Walmart PT,Accessories,Industrial & Scientific > Professional Medical Supplies > Surgical Equipment > Cryosurgery > Accessories,11312431011,5,无,a2w_agent,冷冻手术配件，专业外科，无对应PT,Industrial_and_Scientific_part4,,,,,,,,,
-,-,无对应Walmart PT,Accessories,Industrial & Scientific > Raw Materials > Floor Grating > Accessories,18734409011,6,无,a2w_agent,地板格栅配件，无对应PT,Industrial_and_Scientific_part4,,,,,,,,,
-,-,无对应Walmart PT,Accessories,Industrial & Scientific > Retail Store Fixtures & Equipment > Retail Shelving & Wall Displays > Gridwall & Fixtures > Accessories,8615573011,7,无,a2w_agent,格网配件，无专用PT,Industrial_and_Scientific_part4,,,,,,,,,
-,-,无对应Walmart PT,Accessories,Industrial & Scientific > Retail Store Fixtures & Equipment > Retail Shelving & Wall Displays > Pegboard & Fixtures > Accessories,8615578011,8,无,a2w_agent,洞洞板配件，无专用PT,Industrial_and_Scientific_part4,,,,,,,,,
-,-,无对应Walmart PT,Accessories,Industrial & Scientific > Retail Store Fixtures & Equipment > Retail Shelving & Wall Displays > Slatwalls & Fixtures > Accessories,8615583011,9,无,a2w_agent,槽板配件，无专用PT,Industrial_and_Scientific_part4,,,,,,,,,
-,-,无对应Walmart PT,Acrylics,Industrial & Scientific > Professional Dental Supplies > Cosmetics & Restoratives > Acrylics,8297543011,10,无,a2w_agent,专业牙科修复材料，Walmart无对应PT,Industrial_and_Scientific_part3,,,,,,,,,
