序号,类目 (英文),类目 (中文),总体状态,预审批要求,中国卖家风险,禁售子项,有条件允许,需预审批详情,引用法规,中国卖家特别说明,完整政策详情,最后更新,官方 URL,,,,,,
1,Alcohol,酒精,完全禁售（含酒精食品/蒸馏设备）,—,红：零容忍,"• 含酒精饮品：烈酒、啤酒、葡萄酒、加强葡萄酒、硬苹果酒、蜂蜜酒、硬苏打、开胃酒、甜酒
• 含酒精的调酒 mixer
• 可食用含酒精食品（酒心巧克力、酒浸蛋糕）
• 酒精粉（powdered alcohol）
• 蒸馏设备、moonshine 私酿设备、葡萄酒蒸馏设备","• Bitters（调酒苦精）：须符合州法律
• 无醇烈酒/葡萄酒/啤酒：须符合州法律
• 空酒瓶收藏品：须清楚标注为""空瓶""",无,"• 26 U.S.C. § 5042(a)(2)、§ 5053(e)（联邦禁止家庭蒸馏烈酒）
• 酒精定义：酒精含量 ≥0.5% ABV","全面禁售。酒杯/开瓶器/酒架等配件走家居类目即可，带酒精的产品（哪怕含量低）一律不可卖。
• --","**禁售子项**：
- 含酒精饮品：烈酒、啤酒、葡萄酒、加强葡萄酒、硬苹果酒、蜂蜜酒、硬苏打、开胃酒、甜酒
- 含酒精的调酒 mixer
- 可食用含酒精食品（酒心巧克力、酒浸蛋糕）
- 酒精粉（powdered alcohol）
- 蒸馏设备、moonshine 私酿设备、葡萄酒蒸馏设备
**有条件允许**：
- Bitters（调酒苦精）：须符合州法律
- 无醇烈酒/葡萄酒/啤酒：须符合州法律
- 空酒瓶收藏品：须清楚标注为""空瓶""
**需预审批**：无
**引用法规**：
- 26 U.S.C. § 5042(a)(2)、§ 5053(e)（联邦禁止家庭蒸馏烈酒）
- 酒精定义：酒精含量 ≥0.5% ABV",2025-12-10,https://marketplacelearn.walmart.com/guides/Prohibited-Products-Policy:-Alcohol,,,,,,
2,Animals,动物,大部分禁售，少数条件放行,—,黄：毛皮/象牙/donkey hide 高发,"• 活体动物（宠物、牲畜、海洋动物）、活昆虫与植物害虫、活蚯蚓与鱼饵
• 动物器官、尸体、胎体
• 濒危/受威胁物种及其制品
• **天然毛皮产品**（natural fur）
• 受保护鸟类羽毛
• 象牙制品（>5% 实际象牙含量）
• 海洋哺乳动物制品
• 宠物（狗、猫）衍生物
• **驴皮制品（donkey hide / 阿胶）** ← 中国卖家高危
• 捕熊夹、钢齿夹
• 动物疫苗、处方兽药
• 冷藏/冷冻动物食品和药物
• 含大麻宠物食品
• 熊喷雾（bear spray）
• 电子猎物哨、诱饵器、狩猎引诱剂
• 动物尿液/发情期产品","• 卤虫卵（""海猴""孵化套装）：干燥休眠包装
• Triops 卵孵化套装：干燥休眠
• 非濒危、非宠物、合法采购的动物骨/头骨
• 清洁消毒、包装好的教育用猫头鹰颗粒
• 鲨鱼牙制品和收藏品
• 合法采购的羊毛、皮革（人造皮毛也允许）
• 非处方跳蚤治疗产品、宠物洁齿咀嚼棒
• 狩猎诱饵（非电子）
• 合成或干/罐装钓鱼饵",,Lacey Act、Migratory Bird Treaty Act of 1918、Alaska Native 熊制品限制,"阿胶/驴胶/donkey hide 相关产品直接禁售；象牙类（包括骨雕）极易误判为象牙。
• --","**禁售子项**：
- 活体动物（宠物、牲畜、海洋动物）、活昆虫与植物害虫、活蚯蚓与鱼饵
- 动物器官、尸体、胎体
- 濒危/受威胁物种及其制品
- **天然毛皮产品**（natural fur）
- 受保护鸟类羽毛
- 象牙制品（>5% 实际象牙含量）
- 海洋哺乳动物制品
- 宠物（狗、猫）衍生物
- **驴皮制品（donkey hide / 阿胶）** ← 中国卖家高危
- 捕熊夹、钢齿夹
- 动物疫苗、处方兽药
- 冷藏/冷冻动物食品和药物
- 含大麻宠物食品
- 熊喷雾（bear spray）
- 电子猎物哨、诱饵器、狩猎引诱剂
- 动物尿液/发情期产品
**有条件允许**：
- 卤虫卵（""海猴""孵化套装）：干燥休眠包装
- Triops 卵孵化套装：干燥休眠
- 非濒危、非宠物、合法采购的动物骨/头骨
- 清洁消毒、包装好的教育用猫头鹰颗粒
- 鲨鱼牙制品和收藏品
- 合法采购的羊毛、皮革（人造皮毛也允许）
- 非处方跳蚤治疗产品、宠物洁齿咀嚼棒
- 狩猎诱饵（非电子）
- 合成或干/罐装钓鱼饵
**引用法规**：Lacey Act、Migratory Bird Treaty Act of 1918、Alaska Native 熊制品限制",2025-12-12,https://marketplacelearn.walmart.com/guides/Prohibited-Products-Policy:-Animals,,,,,,
3,Art,艺术,有条件,—,黄：侵权复制品高发,"• 未授权复制/翻印、侵犯他人 IP 的艺术品
• 以性化为目的展示性行为或裸体的艺术品","• 明确标注为 reproduction 的复制品（须无版权/商标侵权）
• 历史和古代艺术品（含艺术性裸体）",无,无具体条文；一般 IP 法,"动漫/电影/明星肖像 poster、无授权油画复制品是典型违规点。
• --","**禁售子项**：
- 未授权复制/翻印、侵犯他人 IP 的艺术品
- 以性化为目的展示性行为或裸体的艺术品
**有条件允许**：
- 明确标注为 reproduction 的复制品（须无版权/商标侵权）
- 历史和古代艺术品（含艺术性裸体）
**需预审批**：无
**引用法规**：无具体条文；一般 IP 法",2025-12-10,https://marketplacelearn.walmart.com/guides/Prohibited-Products-Policy:-Art,,,,,,
4,Artifacts & Antiquities,文物/古董,完全禁售（复制品除外）,—,红：不建议碰,"• 文物、化石、地质构造、遗物、遗骸
• 神圣/部落物品
• 声称带有部族名称/""Indian"" 但非部族成员/认证工匠制作
• 来自美洲原住民土地的物品
• 历史墓碑、墓葬品
• 失窃/掠夺的文物
• 被列为 antique 的""旧""产品","• 文物相关书籍
• 明确标注的化石/文物复制品",,"Indian Arts and Crafts Act of 1990
• --",,"**禁售子项**：
- 文物、化石、地质构造、遗物、遗骸
- 神圣/部落物品
- 声称带有部族名称/""Indian"" 但非部族成员/认证工匠制作
- 来自美洲原住民土地的物品
- 历史墓碑、墓葬品
- 失窃/掠夺的文物
- 被列为 antique 的""旧""产品
**有条件允许**：
- 文物相关书籍
- 明确标注的化石/文物复制品
**引用法规**：Indian Arts and Crafts Act of 1990",2025-12-10,https://marketplacelearn.walmart.com/guides/Prohibited-Products-Policy:-Artifacts-and-antiquities,,,,,,
5,Auto & Motor Vehicles,汽车/机动车,大部分禁售,车辆配件,红：delete kit/CARB 违规高发,"• 需 DMV 注册的机动车辆
• 排放控制绕过装置（O2 传感器模拟器、DPF/SCR/EGR delete 套件）
• Muffler delete pipes（消声器直通管）
• 安全气囊组件和模块
• 改动 MIL 故障灯的产品
• 非合规油桶（违反 Portable Fuel Container Safety Act）
• 里程表修改设备
• 交通信号干扰产品
• 车牌遮盖物
• 政府签发的 ID（伪造）
• 不符合 DOT/FMVSS 的产品
• 不符合 CARB 的零件
• VIN 号牌
• 安全带 buckle insert 报警消音器
• **二手轮胎**
• 爆胎钉/爆胎器","• 油电驱动 ride-on（迷你摩托、ATV、e-bike、go-cart）：须符合州法
• 电动滑板车/自行车：电池须遵守 DOT
• 车载电池：必须按 DOT 运输
• **新轮胎**：必须完好、符合 FMVSS，带有效 TIN 和购买者登记文件（49 CFR 574.8）",汽车配件（雨刷、座椅套、脚垫）,EPA、DOT、NHTSA（FMVSS）、CARB、Portable Fuel Container Safety Act、49 CFR 574.8,"**排放 delete kit 是中国卖家重大高发违规**，系统会主动下架并扣绩效分；CARB 认证的零件（加州销售）必须提供证书。
• --","**禁售子项**：
- 需 DMV 注册的机动车辆
- 排放控制绕过装置（O2 传感器模拟器、DPF/SCR/EGR delete 套件）
- Muffler delete pipes（消声器直通管）
- 安全气囊组件和模块
- 改动 MIL 故障灯的产品
- 非合规油桶（违反 Portable Fuel Container Safety Act）
- 里程表修改设备
- 交通信号干扰产品
- 车牌遮盖物
- 政府签发的 ID（伪造）
- 不符合 DOT/FMVSS 的产品
- 不符合 CARB 的零件
- VIN 号牌
- 安全带 buckle insert 报警消音器
- **二手轮胎**
- 爆胎钉/爆胎器
**有条件允许**：
- 油电驱动 ride-on（迷你摩托、ATV、e-bike、go-cart）：须符合州法
- 电动滑板车/自行车：电池须遵守 DOT
- 车载电池：必须按 DOT 运输
- **新轮胎**：必须完好、符合 FMVSS，带有效 TIN 和购买者登记文件（49 CFR 574.8）
**需预审批**：汽车配件（雨刷、座椅套、脚垫）
**引用法规**：EPA、DOT、NHTSA（FMVSS）、CARB、Portable Fuel Container Safety Act、49 CFR 574.8",2025-12-12,https://marketplacelearn.walmart.com/guides/Prohibited-Products-Policy:-Auto-and-motor-vehicles,,,,,,
6,Autographs & Collectibles,签名/收藏品,需预审批,必须,红：中国卖家不易获批,未验证的签名与纪念品；带 COA 证书的物品（无预审批）,明确标注为复制品的签名物品,必须。Walmart 须批准后才可销售带 COA 的纪念品,,"预审批通过率极低，不建议尝试。
• --","**禁售子项**：未验证的签名与纪念品；带 COA 证书的物品（无预审批）
**有条件允许**：明确标注为复制品的签名物品
**需预审批**：必须。Walmart 须批准后才可销售带 COA 的纪念品",2025-12-10,https://marketplacelearn.walmart.com/guides/Prohibited-Products-Policy:-Autographs-and-collectibles,,,,,,
7,Baby Products,母婴用品,有条件（多款具体禁售）,婴儿食品/奶粉,黄：CPSC 召回高发,"• **Crib bumpers / bumper pads / sleep positioners**（婴儿床护栏/防撞/定位垫）— 联邦 Safe Sleep for Babies Act 全禁
• 倾斜睡椅/摇椅（inclined sleepers/rockers）
• 用于睡眠的婴儿枕头、毯子、毛巾、绒毛玩具
• 婴儿颈圈泳圈/充气游泳辅助具
• 软质汽车安全座椅、高背增高座椅
• 促进不安全抱姿的婴儿背带","• 含药品的婴儿产品：须遵守 Drugs/Medical Devices 政策
• 含化妆品的婴儿产品：须遵守 Cosmetics 政策
• 儿童口罩：仅限 2 岁以上儿童
• 床垫：须遵守州法（加州等）
• 网状婴儿床垫：须遵守州法",**婴儿配方奶粉和婴儿食品**（enhanced vetting program）；婴儿健康产品,CPSC small parts regulation、CPSIA、Safe Sleep for Babies Act（隐含）,"婴儿奶粉/辅食几乎不放开中国卖家。婴儿床护栏（中国工厂仍普遍生产）在 Walmart 必然下架。
• --","**禁售子项**：
- **Crib bumpers / bumper pads / sleep positioners**（婴儿床护栏/防撞/定位垫）— 联邦 Safe Sleep for Babies Act 全禁
- 倾斜睡椅/摇椅（inclined sleepers/rockers）
- 用于睡眠的婴儿枕头、毯子、毛巾、绒毛玩具
- 婴儿颈圈泳圈/充气游泳辅助具
- 软质汽车安全座椅、高背增高座椅
- 促进不安全抱姿的婴儿背带
**有条件允许**：
- 含药品的婴儿产品：须遵守 Drugs/Medical Devices 政策
- 含化妆品的婴儿产品：须遵守 Cosmetics 政策
- 儿童口罩：仅限 2 岁以上儿童
- 床垫：须遵守州法（加州等）
- 网状婴儿床垫：须遵守州法
**需预审批**：**婴儿配方奶粉和婴儿食品**（enhanced vetting program）；婴儿健康产品
**引用法规**：CPSC small parts regulation、CPSIA、Safe Sleep for Babies Act（隐含）",2025-12-10,https://marketplacelearn.walmart.com/guides/Prohibited-Products-Policy:-Baby-products,,,,,,
8,Children's Products,儿童产品（≤12岁）,需 CPC + 第三方报告,—,红：CPSIA 必测,"所有儿童产品必须附有：
• 有效 **CPC**（Children's Product Certificate）
• 对应的 **第三方 CPSC-accepted 实验室测试报告**",,,CPSC / CPSA Section 14、16 CFR 1110（隐含）,"• **这是中国卖家最容易忽视的重大合规项**。Walmart 在上架和审核时会主动抽查 CPC，没有就下架。
• 建议在中国合作 CPSC-accepted 的实验室（如 Intertek、SGS、Bureau Veritas）拿英文报告。
• CPSIA 重金属（铅）、邻苯二甲酸盐（phthalates）测试是基本项。
• --","**要求**：所有儿童产品必须附有：
- 有效 **CPC**（Children's Product Certificate）
- 对应的 **第三方 CPSC-accepted 实验室测试报告**
**CPC 必要元素**：英文书写、CPSC-accepted 实验室、产品标识与适用安全法规引用、制造商/进口商名址电话、测试记录联系方式、制造与测试日期和地点、第三方实验室信息。
**引用法规**：CPSC / CPSA Section 14、16 CFR 1110（隐含）",2025-12-11,https://marketplacelearn.walmart.com/guides/prohibited-product-policy-children-s-products,,,,,,
9,Cosmetic Products,化妆品,限定卖家（restricted）,必须,红：中国卖家几乎不放开,"• 未 FDA 注册/列名/GMP 合规
• 需处方或专业监管
• FTC 宣称不实/未证实
• 含：bithionol、chloroform、hexachlorophene、mercury compounds、formaldehyde、zirconium complexes、vinyl chloride
• 动物源（貂毛睫毛、squalene、蛇毒）
• 受限/非法植物原料
• 需冷藏温控的产品
• 动物测试过的化妆品
• 美白剂/漂白剂
• 宣称治疗/治愈疾病（自动归为药品）
• 非零售包装（试用装、样品、已开封）
• 含大麻的可食用产品
• 违反 Microbead-Free Waters Act 的微珠","• 沙龙/专业级化妆品（正确标签）
• 含大麻籽油的外用产品（合规宣称）
• 符合 FD&C Act 和 FDA 全部法规",必须（restricted category）— Walmart 主动联系,FD&C Act、FDA、Packaging and Labeling Act、Microbial-Free Waters Act、FTC；**2026 必须同时合规 MoCRA（虽本政策未明提）**,"化妆品类目对中国卖家基本不开放。即使开放，含汞/铅/激素违规是中国产品高发问题。
• --","**禁售子项**：
- 未 FDA 注册/列名/GMP 合规
- 需处方或专业监管
- FTC 宣称不实/未证实
- 含：bithionol、chloroform、hexachlorophene、mercury compounds、formaldehyde、zirconium complexes、vinyl chloride
- 动物源（貂毛睫毛、squalene、蛇毒）
- 受限/非法植物原料
- 需冷藏温控的产品
- 动物测试过的化妆品
- 美白剂/漂白剂
- 宣称治疗/治愈疾病（自动归为药品）
- 非零售包装（试用装、样品、已开封）
- 含大麻的可食用产品
- 违反 Microbead-Free Waters Act 的微珠
**有条件允许**：
- 沙龙/专业级化妆品（正确标签）
- 含大麻籽油的外用产品（合规宣称）
- 符合 FD&C Act 和 FDA 全部法规
**需预审批**：必须（restricted category）— Walmart 主动联系
**引用法规**：FD&C Act、FDA、Packaging and Labeling Act、Microbial-Free Waters Act、FTC；**2026 必须同时合规 MoCRA（虽本政策未明提）**",2025-12-11,https://marketplacelearn.walmart.com/guides/Prohibited-Products-Policy:-Cosmetic-products,,,,,,
10,Dietary Supplements,膳食补充剂,限定卖家（restricted）,必须,红：几乎不放开,"• 纯/高浓度咖啡因
• HCG 减肥产品
• 3 Hard Knights、Fuel Up Plus、Miracle Diet 30、One Weight Loss Pill、Rhino、Sunscreen Pills 等品牌
• 驴皮胶（donkey hide gelatin / 阿胶）
• 鹿茸（deer antler velvet 及其他鹿科）
• 鲨鱼软骨/肝油、海洋哺乳动物来源成分
**有条件允许**（有 FDA 剂量限）：
• 碘：≤2.2%
• Yohimbine：≤4 mg/份",,必须（restricted category）。无 DMAA/SARMs/kratom/ephedra 的明确列表，但按 FDA 通用规则一律禁止。,FD&C Act、FDA、FTC Health Products Compliance Guidance、Controlled Substances Act,"阿胶、鹿茸、鲨鱼软骨、燕窝类属于""中国特色""但**明确被禁**。
• --","**禁售子项**：
- 纯/高浓度咖啡因
- HCG 减肥产品
- 3 Hard Knights、Fuel Up Plus、Miracle Diet 30、One Weight Loss Pill、Rhino、Sunscreen Pills 等品牌
- 驴皮胶（donkey hide gelatin / 阿胶）
- 鹿茸（deer antler velvet 及其他鹿科）
- 鲨鱼软骨/肝油、海洋哺乳动物来源成分
**有条件允许**（有 FDA 剂量限）：
- 碘：≤2.2%
- Yohimbine：≤4 mg/份
**需预审批**：必须（restricted category）。无 DMAA/SARMs/kratom/ephedra 的明确列表，但按 FDA 通用规则一律禁止。
**引用法规**：FD&C Act、FDA、FTC Health Products Compliance Guidance、Controlled Substances Act",2025-12-11,https://marketplacelearn.walmart.com/guides/Prohibited-Products-Policy:-Dietary-supplements,,,,,,
