表|行数
system_config|0
listing_promotions|0
walmart_categories|0
walmart_returns|0
llm_cache|0
store_kpi_snapshots|0
store_rules|0
listing_specs|0
collection_failures|0
purchaser_configs|0
walmart_pt_spec|0
daily_quota_usage|0
walmart_error_records|0
order_lines|0
proxies|0
brand_store_assignments|0
pipeline_events|0
products_raw_amazon|0
store_quota_config|0
walmart_pt_meta|0
products_master|0
stores|0
feed_items|0
system_orders|0
walmart_prohibited_policy|0
blacklist_brand_ip_stats|0
pipeline_runs|0
store_pricing_rules|0
audit_hits|0
collection_jobs|0
brand_company_graph|0
batch_jobs|0
tro_cases|0
collection_results|0
upc_pool|0
store_incidents|0
payout_accounts|0
category_applications|0
sync_runs|0
compliance_rules|0
feeds|0
blacklist_brands|0
audit_runs|0
batch_events|0
scheduled_tasks|0
purchasers|0
walmart_category_map|0
walmart_orders|0
listings|0
violation_groundtruth|0
listing_errors|0
alembic_version|0
llm_usage|0
(53 rows)
