表|行数
trademark_statements|29254245
trademark_classes|17251713
trademark_design_codes|8836914
company_brand_details|159730
trademark_owners|134965
trademarks|45374
tro_cases|11893
path_a_results|8251
path_b_results|3237
matched_companies|184
unique_plaintiffs|63
etl_progress|23
unique_brands|16
tmp_prefixes|0
patent_grant_images|0
tmp_fuzzy|0
patent_grants|0
amazon_walmart_category_map|0
patent_grant_inventors|0
products_embeddings|0
tmp_violations|0
patent_grant_classifications|0
walmart_suspension_embeddings|0
ai_match_results|0
walmart_product_types|0
patent_grant_assignees|0
products_stage|0
nice_classification|0
blacklist_brands|0
extra_brand_details|0
walmart_suspension_history|0
etl_errors|0
product_audits|0
audit_flags|0
status_code_mapping|0
patent_grant_citations|0
brand_nice_class|0
(37 rows)
