id|brand_name|brand_upper|source|added_date|is_multi_word|updated_at
1|BEE|BEE|TRO品牌|2026-04-17|f|2026-04-17 18:53:20.713412+08
2|COFFEE AT YOUR FINGERTIPS|COFFEE AT YOUR FINGERTIPS|TRO品牌|2026-04-17|t|2026-04-17 18:53:20.713412+08
3|GOORIN BROS|GOORIN BROS|TRO品牌|2026-04-17|t|2026-04-17 18:53:20.713412+08
4|PAPERWORK|PAPERWORK|TRO品牌|2026-04-17|f|2026-04-17 18:53:20.713412+08
5|# UPHILLFLOW|# UPHILLFLOW|TRO品牌|2026-04-17|t|2026-04-17 18:53:20.713412+08
6|#1 ALL SYSTEMS|#1 ALL SYSTEMS|历史集成|2026-04-17|t|2026-04-17 18:53:20.713412+08
7|#1 DRIVER IN GOLF|#1 DRIVER IN GOLF|TRO品牌|2026-04-17|t|2026-04-17 18:53:20.713412+08
8|#1 IRONS IN GOLF|#1 IRONS IN GOLF|TRO品牌|2026-04-17|t|2026-04-17 18:53:20.713412+08
9|#1 MAGNA-TILES MAGNETIC BUILDING SETS BRAND|#1 MAGNA-TILES MAGNETIC BUILDING SETS BRAND|TRO品牌|2026-04-17|t|2026-04-17 18:53:20.713412+08
10|#1 PUTTER IN GOLF|#1 PUTTER IN GOLF|TRO品牌|2026-04-17|t|2026-04-17 18:53:20.713412+08
11|#1 PUTTER ON TOUR|#1 PUTTER ON TOUR|TRO品牌|2026-04-17|t|2026-04-17 18:53:20.713412+08
12|#1 RANGEFINDER IN GOLF|#1 RANGEFINDER IN GOLF|TRO品牌|2026-04-17|t|2026-04-17 18:53:20.713412+08
13|#1 RANGEFINDER ON TOUR|#1 RANGEFINDER ON TOUR|TRO品牌|2026-04-17|t|2026-04-17 18:53:20.713412+08
14|#BESTINTHEGAME|#BESTINTHEGAME|TRO品牌|2026-04-17|f|2026-04-17 18:53:20.713412+08
15|#DESTINATIONANYWHERE|#DESTINATIONANYWHERE|TRO品牌|2026-04-17|f|2026-04-17 18:53:20.713412+08
16|#FASTERRENEWAL|#FASTERRENEWAL|TRO品牌|2026-04-17|f|2026-04-17 18:53:20.713412+08
17|#GIFTRADIANCE|#GIFTRADIANCE|TRO品牌|2026-04-17|f|2026-04-17 18:53:20.713412+08
18|#LITAF|#LITAF|TRO品牌|2026-04-17|f|2026-04-17 18:53:20.713412+08
19|#LOVECATSMORE|#LOVECATSMORE|TRO品牌|2026-04-17|f|2026-04-17 18:53:20.713412+08
20|#MONCLER|#MONCLER|TRO品牌|2026-04-17|f|2026-04-17 18:53:20.713412+08
(20 rows)
