id|real_company|brand_name|brand_upper|serial_number|registration_number|status|is_live|nice_class|nice_class_cn|nice_class_en|goods_services|updated_at
1|1.4G HOLDINGS LLC|MERICAAF|MERICAAF|99497639|(申请中)|LIVE/examination|t|013|军火烟花|Firearms & Fireworks|Fireworks|2026-04-18 14:20:15.091101+08
2|1.4G HOLDINGS LLC|#LITAF|#LITAF|97483840|7131974|LIVE/registered|t|013|军火烟花|Firearms & Fireworks|Fireworks|2026-04-18 14:20:15.091101+08
3|1.4G HOLDINGS LLC|#LITAF|#LITAF|97483726|7233523|LIVE/registered|t|035|广告商业|Advertising & Business|Retail store services featuring fireworks and fireworks-related products; Wholesale store services featuring fireworks and fireworks-related products; On-line retail store services featuring fireworks and fireworks-related products; On-line wholesale store services featuring fireworks and fireworks-related products|2026-04-18 14:20:15.091101+08
4|1.4G HOLDINGS LLC|AFTER PARTY|AFTER PARTY|99194653|(申请中)|LIVE/examination|t|013|军火烟花|Firearms & Fireworks|Fireworks|2026-04-18 14:20:15.091101+08
5|1.4G HOLDINGS LLC|AMERICA'S LOUDEST FIREWORKS COMPANY|AMERICA'S LOUDEST FIREWORKS COMPANY|99538927|(申请中)|LIVE/examination|t|035|广告商业|Advertising & Business|On-line wholesale and retail store services featuring fireworks; Wholesale and retail store services featuring fireworks|2026-04-18 14:20:15.091101+08
6|1.4G HOLDINGS LLC|ARCADE|ARCADE|97484595|7227966|LIVE/registered|t|013|军火烟花|Firearms & Fireworks|Fireworks|2026-04-18 14:20:15.091101+08
7|1.4G HOLDINGS LLC|BANSHEE|BANSHEE|99035242|(申请中)|LIVE/examination|t|013|军火烟花|Firearms & Fireworks|Fireworks|2026-04-18 14:20:15.091101+08
8|1.4G HOLDINGS LLC|BLUNTS|BLUNTS|97484584|7227965|LIVE/registered|t|013|军火烟花|Firearms & Fireworks|Fireworks|2026-04-18 14:20:15.091101+08
9|1.4G HOLDINGS LLC|BUDDHA|BUDDHA|98168110|7796482|LIVE/registered|t|013|军火烟花|Firearms & Fireworks|Fireworks|2026-04-18 14:20:15.091101+08
10|1.4G HOLDINGS LLC|CALAVERA|CALAVERA|97089052|6983563|LIVE/registered|t|013|军火烟花|Firearms & Fireworks|Fireworks|2026-04-18 14:20:15.091101+08
11|1.4G HOLDINGS LLC|CLICK BOOM|CLICK BOOM|97485952|7227972|LIVE/registered|t|035|广告商业|Advertising & Business|On-line retail store services featuring fireworks and fireworks-related products; On-line wholesale store services featuring fireworks and fireworks-related products; Retail store services featuring fireworks and fireworks-related products; Wholesale store services featuring fireworks and fireworks-related products|2026-04-18 14:20:15.091101+08
12|1.4G HOLDINGS LLC|DEAD PRESIDENTS|DEAD PRESIDENTS|99497743|(申请中)|LIVE/examination|t|013|军火烟花|Firearms & Fireworks|Fireworks|2026-04-18 14:20:15.091101+08
13|1.4G HOLDINGS LLC|DEATH BLOSSOM|DEATH BLOSSOM|99497689|(申请中)|LIVE/examination|t|013|军火烟花|Firearms & Fireworks|Fireworks|2026-04-18 14:20:15.091101+08
14|1.4G HOLDINGS LLC|DOOM|DOOM|97883135|7316232|LIVE/registered|t|013|军火烟花|Firearms & Fireworks|Fireworks|2026-04-18 14:20:15.091101+08
15|1.4G HOLDINGS LLC|DOOM|DOOM|97883025|7316231|LIVE/registered|t|035|广告商业|Advertising & Business|Wholesale and retail store services featuring fireworks and fireworks-related products; On-line wholesale and retail store services featuring fireworks and fireworks-related products|2026-04-18 14:20:15.091101+08
16|1.4G HOLDINGS LLC|FRIDAY NIGHT FIREWORKS|FRIDAY NIGHT FIREWORKS|97088957|6998247|LIVE/registered|t|041|教育娱乐|Education & Entertainment|Entertainment services, namely, providing video podcasts in the field of fireworks; On-line video journals, namely, vlogs featuring nondownloadable videos in the field of fireworks; Providing a website featuring non-downloadable videos in the field of fireworks; Providing on-line videos featuring fireworks, not downloadable; Providing online non-downloadable videos in the field of fireworks|2026-04-18 14:20:15.091101+08
17|1.4G HOLDINGS LLC|GEISHA|GEISHA|97483876|7131981|LIVE/registered|t|013|军火烟花|Firearms & Fireworks|Fireworks|2026-04-18 14:20:15.091101+08
18|1.4G HOLDINGS LLC|GRANDE BOOMS|GRANDE BOOMS|97483551|7037076|LIVE/registered|t|035|广告商业|Advertising & Business|On-line retail store services featuring fireworks; On-line wholesale store services featuring fireworks; Retail store services featuring fireworks; Wholesale store services featuring fireworks|2026-04-18 14:20:15.091101+08
19|1.4G HOLDINGS LLC|GUMBALL|GUMBALL|97450783|7239354|LIVE/registered|t|013|军火烟花|Firearms & Fireworks|Fireworks|2026-04-18 14:20:15.091101+08
20|1.4G HOLDINGS LLC|HOLOGRAM|HOLOGRAM|97786533|7213297|LIVE/registered|t|013|军火烟花|Firearms & Fireworks|Fireworks|2026-04-18 14:20:15.091101+08
(20 rows)
